,Disaster Type,Disaster Subtype,Country,Location,Start Year,Start Month,Start Day,End Year,End Month,End Day,No Deaths,No Missing,Total Deaths,No Injured,No Affected,No Homeless,Total Affected
70,Flood,Flash flood,Bangladesh,"Naogaon, Joypurhat district (Rajshahi province), Gaibandha, Rangpur, Nilphamari, Dinajpur districts (Rangpur province)",2005,10.0,3.0,2005,10.0,20.0,19.0,,19.0,,100000.0,,100000.0
71,Flood,Riverine flood,Bangladesh,"Kurigram, Gaibandha, Lalmonirhat, Rangpur, Nilphamari districts (Rangpur province), Sherpur, Jamalpur, Dhaka, Narayanganj, Munshiganj, Madaripur, districts (Dhaka province), Sirajganj, Bogra districts (Rajshahi province)",2005,7.0,7.0,2005,7.0,27.0,23.0,,23.0,,1000000.0,,1000000.0
72,Flood,Riverine flood,Bangladesh,"Khagrachhari district (Chittagong province), Sylhet province",2006,5.0,31.0,2006,7.0,24.0,,,,,76000.0,,76000.0
73,Flood,Riverine flood,Bangladesh,"Jessore, Khulna, Satkhira districts (Khulna province)",2006,8.0,24.0,2006,9.0,20.0,,,,,135775.0,,135775.0
74,Flood,Riverine flood,Bangladesh,Chittagong district (Chittagong province),2007,6.0,11.0,2007,6.0,12.0,120.0,,120.0,60.0,80000.0,,80060.0
75,Flood,Riverine flood,Bangladesh,"Goalanda village (Goalandaghat area, Rajbari district, Dhaka province), Aricha port (Shibalaya area, Manikganj district, Dhaka province), Bhagyakul village (Sreenagar area, Munshiganj district, Dhaka province), Bandarban, Feni, Comilla districts (Chittagong province), Sirajganj district (Rajshahi province), Rangpur province",2007,7.0,21.0,2007,8.0,3.0,1110.0,,1110.0,,13771380.0,,13771380.0
76,Flood,Riverine flood,Bangladesh,"Cox's Bazar, Chittagong districts (Chittagong province)",2008,6.0,26.0,2008,7.0,13.0,16.0,,16.0,2.0,,20000.0,20002.0
77,Flood,Riverine flood,Bangladesh,"Bogra, Sirajganj districts (Rajshahi province)",2008,8.0,30.0,2008,9.0,8.0,12.0,,12.0,,600000.0,15638.0,615638.0
78,Flood,Riverine flood,Bangladesh,Habiganj district (Sylhet province),2009,7.0,3.0,2009,7.0,6.0,6.0,,6.0,,500000.0,,500000.0
79,Flood,Riverine flood,Bangladesh,"Comilla, Chittagong districts (Chittagong province), Dhaka, Rajshahi, Barisal, Khulna, Sylhet provinces",2009,7.0,29.0,2009,7.0,29.0,10.0,,10.0,,,,
80,Flood,Flash flood,Bangladesh,"Netrakona district (Dhaka province), Kurigram, Gaibandha, Lalmonirhat districts (Rangpur province), Sylhet province",2010,6.0,24.0,2010,6.0,24.0,,,,,75000.0,,75000.0
81,Flood,Riverine flood,Bangladesh,"Chittagong, Cox's Bazar, Feni, Lakshmipur, Noakhali districts (Chittagong province), Bagerhat, Khulna, Satkhira districts (Khulna province), Barisal province",2010,10.0,1.0,2010,10.0,12.0,15.0,,15.0,,500000.0,,500000.0
