Dates,country Flooded Area (m^2),country Fractional flooded Area
2018-12-09 00:00:00.000000050,523709951.03404164,0.0037809807817640395
2018-12-16 00:00:00.000000050,271270817.88509583,0.0019584690858973014
2018-12-23 00:00:00.000000051,422737383.0685537,0.003051998378032594
2018-12-30 00:00:00.000000051,758943766.1390364,0.005479276818295161
2019-01-06 00:00:00.000000052,1163837337.404857,0.008402449862063364
2019-01-13 00:00:00.000000052,1193043819.493032,0.008613309226603388
2019-01-20 00:00:00.000000053,2370487329.8873005,0.017113990329995558
2019-01-27 00:00:00.000000053,3522526285.720747,0.0254312604969064
2019-02-03 00:00:00.000000054,4480201721.361027,0.032345302153311814
2019-02-10 00:00:00.000000054,3691163603.4865103,0.026648755899278734
2019-02-17 00:00:00.000000055,3137561389.879361,0.022651964686398757
2019-02-24 00:00:00.000000055,2466235296.7071824,0.017805253159208865
2019-03-03 00:00:00.000000056,1677932729.4570935,0.012114017292670783
2019-03-10 00:00:00.000000056,780571672.5626835,0.00563542183401644
2019-03-17 00:00:00.000000057,1126924472.5254416,0.008135953431294092
2019-03-24 00:00:00.000000057,954399940.1520218,0.006890393861538413
2019-03-31 00:00:00.000000058,912325396.8271356,0.006586632133507867
2019-04-07 00:00:00.000000058,963494580.1728896,0.006956053601377361
2019-04-14 00:00:00.000000059,1160032630.375447,0.008374981367088162
2019-04-21 00:00:00.000000059,1084554181.0997667,0.007830056517779448
2019-04-28 00:00:00.000000060,1582006631.8932028,0.01142146842923489
2019-05-05 00:00:00.000000060,1654149935.843361,0.011942314835208145
2019-05-12 00:00:00.000000061,1402310228.7321272,0.010124130760621474
2019-05-19 00:00:00.000000061,1728752115.3862374,0.012480913360159586
2019-05-26 00:00:00.000000062,2328715050.923623,0.016812410832297824
2019-06-02 00:00:00.000000062,2865973944.276308,0.020691209672357058
2019-06-09 00:00:00.000000063,2865973944.276308,0.020691209672357058
2019-06-16 00:00:00.000000063,2564110649.626516,0.018511874883057527
2019-06-23 00:00:00.000000064,2841132819.930814,0.020511866481412764
2019-06-30 00:00:00.000000064,6911568392.35985,0.04989881748812089
2019-07-07 00:00:00.000000065,8493069503.528413,0.06131663625566638
2019-07-14 00:00:00.000000065,16465037557.851923,0.11887112409138598
2019-07-21 00:00:00.000000066,18615552912.90635,0.13439700289566467
2019-07-28 00:00:00.000000066,14905685774.689903,0.1076132147992216
2019-08-04 00:00:00.000000067,12340257205.70689,0.08909182505445677
2019-08-11 00:00:00.000000067,10641415250.681274,0.0768268513404309
2019-08-18 00:00:00.000000068,9945049318.469517,0.07179936198001445
2019-08-25 00:00:00.000000068,6437402031.470556,0.04647552202783494
2019-09-01 00:00:00.000000069,7657393023.97261,0.05528337929208553
